age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
6.0,0.0,6.0,1.0,0.0,10.0,2.0,4.0,1.0,0.0,0.0,20.0,0.0,0.0
3.0,0.0,13.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
3.0,0.0,5.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
2.0,0.0,11.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0
4.0,0.0,9.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
3.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
5.0,0.0,9.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0
5.0,3.0,3.0,13.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,52.0,0.0,1.0
4.0,0.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2.0,0.0,9.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
2.0,0.0,6.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
5.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
5.0,0.0,13.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
5.0,0.0,7.0,3.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
4.0,0.0,9.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,40.0,11.0,1.0
3.0,0.0,5.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,9.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,1.0,7.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
6.0,100.0,6.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
5.0,100.0,10.0,0.0,0.0,100.0,2.0,4.0,1.0,0.0,19.0,60.0,0.0,1.0
3.0,0.0,6.0,10.0,0.0,4.0,2.0,0.0,1.0,0.0,19.0,40.0,0.0,1.0
2.0,0.0,24.0,1.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,40.0,20.0,0.0
4.0,0.0,11.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,10.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,1.0
2.0,100.0,13.0,1.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
6.0,2.0,11.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
1.0,0.0,4.0,3.0,2.0,9.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,1.0,7.0,6.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0
2.0,0.0,10.0,4.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
2.0,100.0,3.0,3.0,2.0,100.0,1.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
6.0,0.0,4.0,1.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
2.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
3.0,0.0,11.0,1.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
6.0,1.0,5.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
5.0,0.0,5.0,10.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
2.0,100.0,18.0,9.0,2.0,100.0,3.0,3.0,1.0,0.0,16.0,40.0,0.0,0.0
3.0,2.0,6.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,0.0,5.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
5.0,1.0,7.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
2.0,0.0,6.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,17.0,40.0,0.0,0.0
1.0,0.0,14.0,2.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
1.0,0.0,10.0,9.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,9.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,1.0
4.0,0.0,23.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,2.0,5.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
3.0,0.0,5.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
6.0,0.0,9.0,8.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0
3.0,0.0,7.0,10.0,0.0,4.0,2.0,1.0,1.0,7.0,0.0,35.0,27.0,1.0
2.0,0.0,10.0,12.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,24.0,32.0,0.0
2.0,1.0,19.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
2.0,0.0,9.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,45.0,0.0,0.0
3.0,0.0,11.0,8.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,40.0,20.0,0.0
6.0,100.0,10.0,8.0,1.0,100.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0
4.0,2.0,6.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0
2.0,4.0,8.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0
4.0,0.0,9.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,13.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,4.0,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
3.0,0.0,9.0,5.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,55.0,16.0,0.0
2.0,0.0,9.0,7.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,50.0,20.0,0.0
4.0,4.0,17.0,5.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,49.0,0.0,1.0
3.0,0.0,5.0,9.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
5.0,1.0,8.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,25.0,32.0,0.0
5.0,0.0,9.0,2.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,1.0
3.0,0.0,10.0,12.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,10.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
2.0,0.0,11.0,13.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
1.0,0.0,6.0,3.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,4.0,11.0,0.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
4.0,4.0,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
6.0,0.0,4.0,5.0,0.0,3.0,2.0,0.0,1.0,15.0,0.0,40.0,0.0,1.0
2.0,2.0,10.0,6.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
3.0,0.0,6.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
3.0,1.0,7.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,11.0,3.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,11.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
4.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
3.0,0.0,9.0,3.0,2.0,10.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,11.0,14.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0
2.0,0.0,2.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,3.0,19.0,0.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
1.0,100.0,17.0,9.0,2.0,100.0,1.0,4.0,1.0,0.0,0.0,25.0,0.0,0.0
4.0,0.0,7.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
4.0,0.0,7.0,1.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,2.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,70.0,10.0,0.0
2.0,0.0,8.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
2.0,0.0,13.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,10.0,8.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,40.0,20.0,0.0
3.0,0.0,13.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
4.0,5.0,5.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0
3.0,3.0,10.0,3.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,0.0,7.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
5.0,0.0,10.0,14.0,5.0,2.0,5.0,4.0,0.0,0.0,0.0,30.0,28.0,0.0
3.0,4.0,5.0,3.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0
2.0,0.0,14.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,16.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
4.0,0.0,8.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,9.0,1.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,7.0,0.0,40.0,0.0,1.0
4.0,4.0,6.0,0.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,6.0,0.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,40.0,0.0,1.0
4.0,2.0,6.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0
3.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,1.0
2.0,5.0,12.0,6.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
6.0,0.0,13.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
5.0,4.0,9.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,5.0,3.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
4.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,1.0
5.0,0.0,7.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
6.0,0.0,2.0,13.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
2.0,0.0,13.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,45.0,0.0,1.0
6.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
3.0,0.0,10.0,3.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,40.0,29.0,0.0
5.0,1.0,3.0,10.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
6.0,0.0,10.0,3.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
6.0,0.0,10.0,3.0,1.0,12.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,1.0,0.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
4.0,0.0,13.0,1.0,0.0,5.0,2.0,0.0,1.0,7.0,0.0,40.0,0.0,1.0
3.0,0.0,8.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
3.0,3.0,8.0,6.0,3.0,8.0,3.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,12.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
2.0,1.0,10.0,1.0,2.0,10.0,3.0,0.0,1.0,0.0,17.0,40.0,0.0,0.0
5.0,0.0,15.0,1.0,0.0,10.0,2.0,0.0,1.0,0.0,18.0,45.0,0.0,1.0
4.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,4.0,5.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
5.0,2.0,1.0,6.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,56.0,0.0,0.0
1.0,0.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
2.0,0.0,9.0,6.0,2.0,12.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,13.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
2.0,2.0,11.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,5.0,10.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,1.0
3.0,0.0,9.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
2.0,0.0,15.0,6.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,14.0,3.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
5.0,0.0,7.0,3.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
5.0,2.0,2.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
5.0,1.0,12.0,11.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,35.0,20.0,0.0
2.0,0.0,7.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,19.0,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
3.0,1.0,5.0,0.0,0.0,5.0,2.0,0.0,1.0,7.0,0.0,40.0,0.0,1.0
3.0,4.0,7.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
4.0,1.0,13.0,10.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
4.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,1.0,10.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
3.0,4.0,9.0,10.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,40.0,100.0,0.0
2.0,0.0,10.0,3.0,2.0,7.0,1.0,0.0,1.0,2.0,0.0,40.0,0.0,0.0
4.0,3.0,9.0,5.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
1.0,100.0,9.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
5.0,0.0,7.0,3.0,1.0,7.0,3.0,4.0,1.0,14.0,0.0,40.0,0.0,1.0
3.0,0.0,11.0,1.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0
4.0,4.0,13.0,3.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,40.0,0.0,1.0
5.0,0.0,4.0,7.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
1.0,4.0,2.0,3.0,2.0,8.0,1.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,9.0,13.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
3.0,0.0,3.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
4.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
3.0,4.0,19.0,1.0,0.0,12.0,2.0,0.0,1.0,15.0,0.0,56.0,0.0,1.0
3.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,8.0,0.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,40.0,29.0,0.0
1.0,0.0,25.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,40.0,36.0,0.0
2.0,0.0,24.0,1.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,1.0
1.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,31.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,14.0,3.0,0.0,6.0,2.0,0.0,1.0,5.0,0.0,40.0,0.0,0.0
3.0,0.0,13.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0
3.0,0.0,7.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
4.0,1.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
5.0,0.0,4.0,9.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,40.0,16.0,0.0
2.0,0.0,10.0,3.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
2.0,0.0,9.0,3.0,0.0,8.0,2.0,0.0,1.0,2.0,0.0,45.0,0.0,0.0
2.0,0.0,1.0,3.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,2.0,7.0,14.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,100.0,1.0
3.0,0.0,10.0,4.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,70.0,0.0,1.0
2.0,0.0,7.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
4.0,0.0,10.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
5.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
2.0,5.0,25.0,1.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,40.0,100.0,0.0
4.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
5.0,0.0,8.0,3.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
4.0,0.0,20.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
3.0,0.0,7.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,1.0
4.0,3.0,10.0,3.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,0.0,16.0,3.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0
5.0,0.0,15.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0
3.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,19.0,50.0,0.0,1.0
4.0,0.0,10.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
3.0,0.0,11.0,1.0,1.0,4.0,3.0,0.0,1.0,8.0,0.0,50.0,0.0,1.0
3.0,1.0,11.0,10.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,1.0
3.0,0.0,16.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,10.0,1.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0
3.0,3.0,9.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
1.0,100.0,9.0,2.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,20.0,38.0,0.0
4.0,4.0,7.0,10.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0
5.0,0.0,15.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
5.0,0.0,5.0,10.0,0.0,4.0,2.0,0.0,1.0,99.0,0.0,60.0,0.0,1.0
6.0,0.0,9.0,3.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
2.0,0.0,15.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
1.0,0.0,2.0,12.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
3.0,4.0,11.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,1.0
4.0,0.0,3.0,3.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,17.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,36.0,20.0,0.0
3.0,0.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
2.0,0.0,11.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,6.0,3.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,9.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,1.0
3.0,4.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,35.0,0.0,0.0
5.0,0.0,5.0,3.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0
4.0,0.0,9.0,12.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,7.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
5.0,1.0,11.0,12.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,40.0,9.0,0.0
2.0,0.0,9.0,2.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,15.0,3.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0
6.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
4.0,0.0,13.0,3.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,40.0,5.0,1.0
3.0,0.0,9.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
6.0,0.0,15.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,1.0,20.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,17.0,0.0
3.0,1.0,16.0,3.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0
4.0,2.0,5.0,3.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
3.0,0.0,10.0,3.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,73.0,0.0,1.0
3.0,4.0,4.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0
2.0,0.0,6.0,12.0,2.0,9.0,5.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,3.0,14.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,40.0,20.0,0.0
5.0,0.0,12.0,8.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
6.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,80.0,0.0,0.0
2.0,0.0,8.0,6.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0
2.0,100.0,8.0,5.0,2.0,100.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,8.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,19.0,50.0,0.0,1.0
2.0,0.0,14.0,1.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,35.0,0.0,0.0
5.0,0.0,8.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0
5.0,4.0,10.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
2.0,5.0,6.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0
6.0,5.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,1.0,5.0,0.0,1.0,10.0,3.0,0.0,1.0,0.0,0.0,50.0,100.0,0.0
3.0,0.0,8.0,3.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0
6.0,0.0,16.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
4.0,4.0,6.0,10.0,0.0,5.0,2.0,0.0,1.0,15.0,0.0,35.0,0.0,1.0
4.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
2.0,0.0,3.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0
2.0,0.0,11.0,3.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3.0,0.0,18.0,3.0,1.0,10.0,1.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
4.0,0.0,16.0,2.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
4.0,1.0,11.0,4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,1.0
3.0,0.0,4.0,4.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,1.0
3.0,0.0,9.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,40.0,100.0,0.0
4.0,0.0,15.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
